tr,filename,title,author,pubLocation,pubDate,mainGenre
TR00467,cellier.todoctor.xml,"To Dr.---- An Answer to his Queries, Concerning the College of Midwives, 1688","Cellier, Elizabeth (Dormer)",London,1688,G.non-fiction
TR00510,centlivre.bewitched.xml,"The Man's Bewitched, 1709","Centlivre, Susanna (Freeman)",London,1709,G.drama
TR00443,centlivre.platlady.xml,"The Platonic Lady, 1707","Centlivre, Susanna (Freeman)",London,1707,G.drama
TR00444,centlivre.wonderwoman.xml,"The Wonder: A Woman Keeps a Secret, 1714","Centlivre, Susanna (Freeman)",London,1714,G.drama
TR00106,chalmers.poems.xml,"Poems, 1813","Chalmers, Margaret",Newcastle,1813,G.verse
TR00114,chandler.essays.xml,"Essays, Philanthropic and Moral, 1845","Chandler, Elizabeth Margaret",Philadelphia and New York,1845,G.non-fiction
TR00113,chandler.poetical.xml,"The Poetical Works of Elizabeth Margaret Chandler, 1845","Chandler, Elizabeth Margaret",Philadelphia and New York,1845,G.verse
TR00703,chapone.letter.xml,"A Letter to a New-Married Lady, 1777","Chapone, Hester (Mulso)",London,1777,G.non-fiction
TR00304,cheney.pilgrimpeep.xml,"A Peep at the Pilgrims, 1824","Cheney, Harriet Vaughan (Foster)",Boston,1824,G.fiction
TR00469,chidley.counsell.xml,"Good Counsel, to the Petitioners for Presbyterian Government, 1645","Chidley, Katharine",s.l.,1645,G.non-fiction
TR00464,chidley.just.xml,"The Justification of the Independent Churches of Christ, 1641","Chidley, Katharine",London,1641,G.non-fiction
TR00463,chidley.newyeares.xml,"A New-Yeares Gift, 1645","Chidley, Katharine",s.l.,1645,G.non-fiction
TR00295,child.appeal.xml,"An Appeal in Favor of that Class of Americans Called Africans, 1833","Child, Lydia Maria",Boston,1833,G.non-fiction
TR00108,chudleigh.defence.xml,"The Ladies Defence, 1701","Chudleigh, Lady Mary (Lee)",London,1701,G.verse
TR00107,chudleigh.essays.xml,"Essays Upon Several Subjects in Prose and Verse, 1710","Chudleigh, Lady Mary (Lee)",London,1710,G.non-fiction.essay
TR00254,chudleigh.poems3ch.xml,"Poems on Several Occasions. Together with the Song of the Three Children Paraphrased, 1703","Chudleigh, Lady Mary (Lee)",London,1703,G.verse
TR00712.01,clark.esquimaux01.xml,"The Esquimaux; or, Fidelity (vol. 1), 1819","Clark, Emily Frederick",London,1819,G.fiction
TR00712.02,clark.esquimaux02.xml,"The Esquimaux; or, Fidelity (vol. 2), 1819","Clark, Emily Frederick",London,1819,G.fiction
TR00712.03,clark.esquimaux03.xml,"The Esquimaux; or, Fidelity (vol. 3), 1819","Clark, Emily Frederick",London,1819,G.fiction
TR00111,clarke.cornell.xml,"Sarah Maria Cornell, or The Fall River Murder, 1833","Clarke, Mary Carr",New York,1813,G.drama
TR00109,clinton.nurserie.xml,"The Countess of Lincoln's Nursery, 1622","Clinton, Elizabeth",Oxford,1622,G.non-fiction
TR00110,clive.case.xml,"The Case of Mrs. Clive, 1744","Clive, Catherine",London,1744,G.non-fiction
TR00112,collier.labour.xml,"The Woman's Labour, 1739","Collier, Mary",London,1739,G.verse
TR00430,collins.divine.xml,"Divine Songs and Meditations, 1653","Collins, An",London,1653,G.verse
TR00726,conway.philosophy.xml,"The Principles of the Most Ancient and Modern Philosophy, 1692","Conway, Anne (Finch), Viscountess Conway",London,1692,G.non-fiction
TR00293,cooper.address.xml,"An Address to the People of Wapping and its Environs, 1770","Cooper, Mrs.",London,1770,G.verse
TR00115.04,cowley.albina.xml,"Albina, a Tragedy, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.05,cowley.belles.xml,"The Belle's Stratagem, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.07,cowley.bold.xml,"A Bold Stroke for a Husband, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115,cowley.dramas.xml,"The Works of Mrs. Cowley, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.03,cowley.dupe.xml,"Who's the Dupe?, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.14,cowley.greencoat.xml,"Green Coat and Brown Coat, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.fiction
TR00125,cowley.greybeards.xml,"A School for Greybeards; or, The Mourning Bride, 1786","Cowley, Hannah (Parkhouse)",London,1786,G.drama.prose
TR00115.08,cowley.moreways.xml,"More Ways Than One, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00127,cowley.pitcairne.xml,"The Scottish Village, 1786","Cowley, Hannah (Parkhouse)",London,1786,G.verse
TR00115.13,cowley.poems.xml,"Poems, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.verse
TR00115.02,cowley.runaway.xml,"The Runaway, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.10,cowley.sparta.xml,"The Fate of Sparta, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.06,cowley.theman.xml,"Which is the Man?, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00115.12,cowley.townbefore.xml,"The Town Before You, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama.prose
TR00115.11,cowley.turkey.xml,"A Day in Turkey, 1813","Cowley, Hannah (Parkhouse)",London,1813,G.drama
TR00131,cristall.sketches.xml,"Poetical Sketches, 1795","Cristall, Ann Batten",London,1795,G.verse
TR00224,cushing.letters.xml,"Letters, Descriptive of Public Monuments, Scenery, and Manners in France and Spain (vol. 1, France), 1832","Cushing, Caroline Elizabeth (Wilde)","Newburyport, MA",1832,G.non-fiction
TR00684,cushing.letters2.xml,"Letters, Descriptive of Public Monuments, Scenery, and Manners in France and Spain (vol. 2, Spain), 1832","Cushing, Caroline Elizabeth (Wilde)","Newburyport, MA",1832,G.non-fiction
TR00534.01,cushing.saratoga1.xml,"Saratoga; a Tale of the Revolution (vol. 1), 1824","Cushing, Eliza Lanesford",Boston,1824,G.fiction
TR00534.02,cushing.saratoga2.xml,"Saratoga; a Tale of the Revolution (vol. 2), 1824","Cushing, Eliza Lanesford",Boston,1824,G.fiction
TR00468,danvers.academia.xml,"Academia: or, the Humours of the University of Oxford, 1691","D'Anvers, Alicia (Clarke)",London,1691,G.verse
TR00466,danvers.oxford.xml,"The Oxford-Act: A Poem, 1693","D'Anvers, Alicia (Clarke)",London,1693,G.verse
TR00014,davies.apocalypse.xml,"Apocalypse, Chap. 11, 1640","Davies, Lady Eleanor",[s.l.],1640,G.non-fiction
TR00015,davies.appearance.xml,"The Appearance or Presence of the Son of Man, 1650","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00016,davies.arraignment.xml,"The Arraignment, 1650","Davies, Lady Eleanor",s.l.,1650,G.non-fiction
TR00019,davies.benediction.xml,"The Benediction, 1651","Davies, Lady Eleanor",[s.l.],1651,G.non-fiction
TR00021,davies.bethlehem.xml,"Bethlehem Signifying the House of Bread, 1652","Davies, Lady Eleanor",[s.l.],1652,G.non-fiction
TR00023,davies.blasphemous.xml,"The Blasphemous Charge Against Her, 1649","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00036,davies.blessing.xml,"From the Lady Eleanor, Her Blessing to Her Beloved Daughter, 1644","Davies, Lady Eleanor",London,1644,G.non-fiction
TR00024,davies.brides.xml,"The Bride's Preparation, 1644","Davies, Lady Eleanor",[s.l.],1644,G.non-fiction
TR00025,davies.cryingcharge.xml,"The Crying Charge, 1649","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00027,davies.elijah.xml,"Elijah the Tishbite's Supplication, 1650","Davies, Lady Eleanor",[s.l.],1650,G.non-fiction
TR00031,davies.ezekprophet.xml,"Ezekiel the Prophet Explained, 1647","Davies, Lady Eleanor",[s.l.],1647,G.non-fiction
TR00297,davies.feast.xml,"For the Blessed Feast of Easter, 1646","Davies, Lady Eleanor",s.l.,1646,G.non-fiction
TR00037,davies.gatehouse.xml,"The Gatehouse Salutation, 1646","Davies, Lady Eleanor",[s.l.],1646,G.non-fiction
TR00034,davies.gerbier.xml,"For the Right Noble Sir Balthazar Gerbier, 1649","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00028,davies.gospel.xml,"The Everlasting Gospel, 1649","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00039,davies.greatbritain.xml,"Great Britain's Visitation, 1645","Davies, Lady Eleanor",[s.l.],1645,G.non-fiction
TR00040,davies.hells.xml,"Hell's Destruction, 1651","Davies, Lady Eleanor",s.l.,1651,G.non-fiction
TR00033,davies.honorable.xml,"For the Most Honorable States, 1649","Davies, Lady Eleanor",[s.l.],1649,G.non-fiction
TR00012,davies.kingsofearth.xml,"All the Kings of the Earth Shall Praise Thee, 1633","Davies, Lady Eleanor",[s.l.],1633,G.non-fiction
TR00026,davies.modell.xml,"The Day of Judgments Model, 1646","Davies, Lady Eleanor",[s.l.],1646,G.non-fiction
TR00017,davies.notunknown.xml,"As Not Unknown, This Petition, 1645","Davies, Lady Eleanor",[s.l.],1645,G.non-fiction
TR00057,davies.reader.xml,"Reader, the Heavy Hour at Hand, 1648","Davies, Lady Eleanor",[s.l.],1648,G.non-fiction
TR00070,davies.tobits.xml,"Tobits Book: A Lesson, 1652","Davies, Lady Eleanor",s.l.,1652,G.non-fiction
TR00071,davies.warning.xml,"A Warning to the Dragon, 1625","Davies, Lady Eleanor",s.l.,1625,G.non-fiction
TR00035,davies.whitsun.xml,"For Whitsun Tide's Last Feast, 1645","Davies, Lady Eleanor",[s.l.],1645,G.non-fiction
TR00073,davies.wordofgod.xml,"The Word of God, 1644","Davies, Lady Eleanor",s.l.,1644,G.non-fiction
TR00132,davys.coquet.xml,"The Reformed Coquet; or Memoirs of Amoranda, 1752","Davys, Mary",London,1752,G.fiction
TR00488,deacon.delicious.xml,"Delicious Entertainments of the Soul (introductory materials), 1632","Deacon, Pudentiana",Douai,1632,G.non-fiction
TR00134,defleury.divinepoems.xml,"Divine Poems and Essays, 1791","De Fleury, Maria",London,1791,G.verse
TR00133,defleury.liberty.xml,"British Liberty Established, 1790","De Fleury, Maria",London,1790,G.verse
TR00135,deverell.maryqueen.xml,"Mary, Queen of Scots; An Historical Tragedy, 1792","Deverell, Mary",London,1792,G.drama.verse
TR00428,dixon.poems.xml,"Poems on Several Occasions, 1740","Dixon, Sarah",Canterbury,1740,G.verse
TR00136,downing.femalefriend.xml,"Mary, or Female Friendship, 1816","Downing, Harriet",London,1816,G.verse
TR00367,dowriche.french.xml,"The French History, 1589","Dowriche, Anne (Edgecombe)",London,1589,G.verse
TR00489,duverger.admirable.xml,"Admirable Events (Epistle Dedicatory), 1639","Du Verger, Susanne",London,1639,G.non-fiction
TR00137,edgeworth.letters.xml,"Letters for Literary Ladies, 1795","Edgeworth, Maria",London,1795,G.fiction
TR00683,edgeworth.trusty.xml,"The Little Dog Trusty; the Orange Man; and the Cherry Orchard, 1801","Edgeworth, Maria",London,1801,G.fiction
TR00461,egerton.female.xml,"The Female Advocate, 1686","Egerton, Sarah (Fyge)",London,1686,G.verse
TR00442,egerton.poems.xml,"Poems on Several Occasions, Together with a Pastoral, 1703","Egerton, Sarah (Fyge)",London,1703,G.verse
TR00421,elizabeth.accession.xml,"The Accession Speech and Prayer, 1558",Elizabeth I,London,1558-01-23,G.non-fiction
TR00370,elizabeth.amost.xml,"A Most Excellent and Remarkable Speech, 1575 (published 1643)",Elizabeth I,London,1643-01-28,G.non-fiction
TR00366,elizabeth.godmed.xml,"A Godly Meditation of the Christian Soul, 1548",Elizabeth I,s.l.,1548,G.non-fiction
TR00423,elizabeth.goldendewes2.xml,"The Golden Speech, 1601",Elizabeth I,London,1693,G.non-fiction
TR00373,elizabeth.hermaiesties.xml,"Her Majesty's Most Princely Answer (The Golden Speech), 1601",Elizabeth I,London,1601-11-30,G.non-fiction
TR00371,elizabeth.lastspeech.xml,"The Last Speech and Thanks of Queen Elizabeth, 1601",Elizabeth I,London,1679,G.non-fiction
TR00418,elizabeth.marrcamden.xml,"The Marriage Speech (extemporaneous version), 1559",Elizabeth I,London,1688,G.non-fiction
TR00425,elizabeth.marrdewes.xml,"The Marriage Speech (parliamentary version), 1559",Elizabeth I,London,1693,G.non-fiction
TR00374,elizabeth.sptoherlast.xml,"Queen Elizabeth's Speech to Her Last Parliament, 1601 (published 1642)",Elizabeth I,London,1642,G.non-fiction
TR00420,elizabeth.tilburyaske.xml,"The Tilbury speech (Aske's version), 1588",Elizabeth I,London,1588,G.verse
TR00419,elizabeth.tilburycabala.xml,"The Tilbury speech (version in Cabala), 1588",Elizabeth I,London,1654,G.non-fiction
TR00435,elizabeth.truecopie.xml,"The True Copy of a Letter, 1586",Elizabeth I,London,1586,G.non-fiction
TR00372,elizabeth.twospeeches.xml,"A Speech Made by Queen Elizabeth, 1593 (published 1688)",Elizabeth I,London,1688,G.non-fiction
TR00139,erskine.alcon.xml,"Alcon Malanzore, a Moorish Tale, 1815","Norton, Eliza Bland (Smith)",Brussels,1815,G.verse.narrative
TR00140,erskine.isabel.xml,"Isabel, a Tale in Two Cantos, and Other Poems, 1814","Norton, Eliza Bland (Smith)",London,1814,G.verse
TR00105,evans.shortrelation.xml,"This is a Short Relation, 1662","Evans, Katharine",London,1662,G.non-fiction
TR00451,evelyn.foppensis.xml,"Mundus Foppensis: or the Fop Displayed, 1691","Evelyn, Mary",London,1691,G.verse
TR00692,evelyn.muliebris.xml,"Mundus Muliebris: or, the Ladies Dressing-Room, 1690","Evelyn, Mary",London,1690,G.verse
TR00588,faugeres.ghost.xml,"The Ghost of John Young the Homicide, 1797","Faugeres, Margaretta V. (Bleecker)",New York,1797,G.verse
TR00376,fell.declaration.xml,"A Declaration and an Information from us the People of God Called Quakers, 1660","Fell, Margaret (Askew)",London,1660,G.non-fiction
TR00368,fell.demonstration.xml,"An Evident Demonstration to Gods Elect, 1660","Fell, Margaret (Askew)",London,1660,G.non-fiction
TR00377,fell.loving.xml,"A Loving Salutation to the Seed of Abraham, 1656","Fell, Margaret (Askew)",London,1656,G.non-fiction
TR00378,fell.thismajor.xml,"This Was Given to Major General Harrison and the Rest, 1660","Fell, Margaret (Askew)",London,1660,G.non-fiction
TR00322,fell.womjustified.xml,"Women's Speaking Justified, 1667","Fell, Margaret (Askew)",London,1667,G.non-fiction
TR00424.01,finch-a.poems.xml,"Miscellany Poems, on Several Occasions and Aristomenes, 1713","Finch, Anne (Kingsmill), Countess of Winchilsea",London,1713,G.verse
TR00424.02,finch-a.shepherd.xml,"Aristomenes: or, the Royal Shepherd, 1713","Finch, Anne (Kingsmill), Countess of Winchilsea",London,1713,G.drama
TR00075,finch-b.sonnets.xml,"Sonnets and Other Poems, 1805","Finch, B.",London,1805,G.verse
TR00141,francis.miscpoems.xml,"Miscellaneous Poems, 1790","Francis, Anne (Gittins)",s.l.,1790,G.verse
TR00259,francis.obsequies.xml,"The Obsequies of Demetrius Poliorcetes, 1785","Francis, Anne (Gittins)",London,1785,G.verse.narrative
TR00260,francis.song.xml,"A Poetical Translation of the Song of Solomon, 1781","Francis, Anne (Gittins)",London,1781,G.drama.verse
TR00227,gannett.address.xml,"Address Delivered With Applause at the Federal-Street Theatre, 1802","Gannett, Deborah (Sampson)","Dedham, MA",1802,G.non-fiction
TR00142,garnett.nightbefore.xml,"The Night Before the Bridal, Sappho, and Other Poems, 1824","Garnett, Catherine Grace",London,1824,G.verse
TR00850,gooch.poems.xml,"Poems on Various Subjects, 1793","Gooch, Elizabeth Sarah (Villa-Real)",London,1793,G.verse
TR00493,gray.rule.xml,"The Rule of the Most Blissed Father Saint Benedict (dedication), 1632","Gray, Alexia",Ghent,1632,G.non-fiction
TR00143,green.romance.xml,"Romance Readers and Romance Writers: A Satirical Novel, 1810","Green, Sarah",London,1810,G.fiction.novel
TR00494,grey.secretphysick.xml,"A Choice Manual, or Rare and Select Secrets, 1653","Grey, Elizabeth, Countess of Kent",London,1653,G.non-fiction
